group,name_ko,name_en,role,image,location
company,정희정,Junghee Jung,CEO,contact/담가라_정희정_대표_Jung hee_Jung.png,"0,0"
company,박관용,Gawnyong Park,Director,contact/담가라_박관용_이사_Gawn yong_Park.png,"0,1"
company,최용성,YongSeong Choi,Team Leader,contact/담가라_최용성_팀장_Yong Seong_Choi.png,"0,2"
company,김선일,Seonil Kim,Team Leader,contact/담가라_김선일_팀장_Seon il_Kim.png,"0,3"
univ,김정윤,JungYoon Kim,Professor,contact/가천대학교_김정윤_교수님_JungYoon Kim.png,"0,0"
univ,정윤현,Younhyun Jung,Professor,contact/정윤현 교수님_Younhyun Jung.jpg,"0,1"
students,유정은,JungEun Yu,Researcher,contact/가천대학교_유정은_연구원_Jung-Eun Yu.png,"0,0"
students,이소진,Sojin Lee,Researcher,contact/가천대학교_이소진_연구원_So-jin Lee.jpg,"0,1"
students,임지예,Jeeye Lim,Visiting Researcher,contact/가천대학교_객원연구원_임지예_Jeeye Lim.png,"0,2"
students,김수현,Suhyeon Kim,Researcher,contact/가천대학교_김수현_연구원_Suhyeon Kim.jpg,"1,0"
students,김예진,Yejin Kim,Researcher,contact/가천대학교_김예진_연구원_Yejin Kim.jpg,"1,1"
students,강지윤,Jiyun Kang,Researcher,contact/가천대학교_강지윤_연구원_Jiyun Kang.jpg,"1,2"
students,최준서,Junseo Choi,Researcher,contact/가천대학교_최준서_연구원_Junseo Choi.jpg,"1,3"
students,추동혁,Donghyuk Choo,Researcher,contact/가천대학교_추동혁_연구원_Donghyuk Choo.jpg,"2,0"
students,임주한,Juhan Lim,Researcher,contact/가천대학교_임주한_연구원_Juhan Lim.jpg,"2,1"
